"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","商城ui测试","0","登录页","0","1","登录","0"
"0","商城ui测试","0","主页","0","5","全局搜索框","0"
"0","商城ui测试","0","商品详情页","0","4","商品信息","0"
"0","商城ui测试","0","登录页","0","1","状态安全","0"
"0","商城ui测试","0","主页","0","1","迷你购物车","0"
"1","商城ui测试","0","注册页","0","0","注册-逆向场景","0"
"0","商城ui测试","0","登录页","0","3","链接跳转","0"
"0","商城ui测试","0","商品详情页","0","2","购物车","0"
"0","商城ui测试","0","主页","0","1","成功导航至主页","0"
"0","商城ui测试","0","主页","0","1","LOGO","0"
"0","商城ui测试","0","主页","0","3","轮播图区域","0"
"1","商城ui测试","0","购物流程","0","1","","0"
"0","商城ui测试","0","商品详情页","0","2","商品评价","0"
"0","商城ui测试","0","登录页","0","1","导航至登录页成功","0"
"0","商城ui测试","0","注册页","0","1","注册-正向场景","0"
"0","商城ui测试","0","注册页","0","1","导航至注册页","0"
"0","商城ui测试","0","主页","0","1","货币切换","0"
"0","商城ui测试","0","主页","0","3","推荐商品区域","0"
"0","商城ui测试","0","商品详情页","0","2","图片画廊","0"
"0","商城ui测试","0","商品详情页","0","1","页面跳转","0"
