"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","546","搜索不存在商品","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.HomePageTest","主页测试","tests.HomePageTest","searchNotExistProductTest"
"","2040","添加有效数量商品到购物车","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.ProductPageTest","商品详情页测试","tests.ProductPageTest","testAddValidQuantity"
"","469","直接点击搜索","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.HomePageTest","主页测试","tests.HomePageTest","searchTest"
"","116","测试轮播图：底部分页圆","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.HomePageTest","主页测试","tests.HomePageTest","testHeroBannerCarousel2"
"","1521","密码与确认密码不一致","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.RegisterPageTest","注册页测试","tests.RegisterPageTest","testRegisterFormValidation"
"","1369","验证用户输入正确的邮箱和密码后成功跳转至账户页","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.LoginPageTest","登录页测试","tests.LoginPageTest","login"
"","995","空值提交","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.LoginPageTest","登录页测试","tests.LoginPageTest","loginFailed"
"","1942","加入对比列表","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.ProductPageTest","商品详情页测试","tests.ProductPageTest","testAddComparison"
"","1589","必填项空值提交(First Name 为空)","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.RegisterPageTest","注册页测试","tests.RegisterPageTest","testRegisterFormValidation"
"","1578","核心信息展示","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.ProductPageTest","商品详情页测试","tests.ProductPageTest","testCoreInfoDisplay"
"","1929","密码长度校验","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.RegisterPageTest","注册页测试","tests.RegisterPageTest","testRegisterFormValidation"
"","1255","已登录状态防重复登录","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.LoginPageTest","登录页测试","tests.LoginPageTest","testDuplicateLogins"
"","561","搜索存在商品","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.HomePageTest","主页测试","tests.HomePageTest","searchExistProductTest"
"","540","搜索存在商品","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.HomePageTest","主页测试","tests.HomePageTest","searchExistProductTest"
